v	orbit	states	attempted	sha256	implementations
26	3	76440	5572424	7f66bea50366dc558d8039e10c406a01024dac228ac1f96725f1e82df4d203f6	3
27	1	1029	73247	cf1bbd742ded05ff3b701962d4320b456d1ff30990f18b9f5a24fef74bfaaa6b	3
27	2	8808	717622	aacc2fd2657a5b6e2840d5285fc24f7ccb620aebab10c31b67896c9a04c3a561	3
27	3	143632	11876410	4ebbd81bbedf3186be482f33dec98e85d3b91f5c5a515d9aaef0c568c7350b12	3
28	1	1774	143968	0b1ebcafeb38f1554b60e9db090b249bd80d9935b7e04743febfbe1aa7287c5a	3
28	2	14158	1246682	47b0518ed14a639ed1c9049300846a9956ae46302f7cc467054d258cdb467c32	3
28	3	266412	24196830	b70c04925a45bafa52bd99bb83c211720b52912b75bb68d9bae4fc705d27e3f0	3
29	1	3286	286790	7beab1c181b81613ce4b84dab3170ea245e911ee7aeebd29143a8d509dfae377	3
29	2	23607	2167611	a933ab1cbd0bf14811731404f75f265fb12a566cb21ad61a3c3df8c92415902e	3
29	3	504300	48634099	8c1ee2273ee54cfa8e77c3b5d52f620455ca23b7c2316f921370adccad73e57f	3
