SOLUTION 1 blocks=19
8 15 18
9 14 15
10 11 13
10 12 18
11 14 17
SOLUTION 26 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 6 10
2 9 11
3 12 13
4 5 14
4 12 15
5 16 17
6 16 18
7 8 18
7 13 16
8 14 15
9 14 17
10 11 12
10 15 18
11 13 17
SOLUTION 27 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 6 10
2 9 11
3 12 13
4 5 14
4 12 15
5 16 17
6 17 18
7 8 17
7 13 16
8 15 18
9 14 15
10 11 13
10 12 18
11 14 16
SOLUTION 28 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 6 10
2 9 11
3 12 13
4 5 14
4 12 15
5 16 17
6 17 18
7 8 18
7 13 17
8 14 15
9 14 16
10 11 12
10 15 18
11 13 16
SOLUTION 29 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 6 10
2 9 11
3 12 13
4 5 14
4 13 15
5 16 17
6 16 18
7 8 16
7 12 17
8 15 18
9 14 15
10 11 12
10 13 18
11 14 17
SOLUTION 30 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 6 10
2 9 11
3 12 13
4 5 14
4 13 15
5 16 17
6 16 18
7 8 18
7 12 16
8 14 15
9 14 17
10 11 13
10 15 18
11 12 17
SOLUTION 31 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 6 10
2 9 11
3 12 13
4 5 14
4 13 15
5 16 17
6 17 18
7 8 17
7 12 16
8 15 18
9 14 15
10 11 12
10 13 18
11 14 16
SOLUTION 32 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 6 10
2 9 11
3 12 13
4 5 14
4 13 15
5 16 17
6 17 18
7 8 18
7 12 17
8 14 15
9 14 16
10 11 13
10 15 18
11 12 16
SOLUTION 33 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 5 10
2 8 11
3 6 12
3 13 14
4 13 15
5 16 17
6 16 18
7 9 16
7 15 18
8 12 14
9 14 17
10 11 15
10 13 17
11 12 18
SOLUTION 34 blocks=19
0 1 2
0 3 4
0 5 6
