0 1 0 29 12 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,8,12;4,13,14;5,9,15;5,10,16;6,13,17;6,14,18;7,19,20;8,21,22;9,23,24;10,25,26;11,19,27;11,20,28
1 1 1 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,8,12;4,13,14;5,9,15;5,16,17;6,13,18;6,14,19;7,20,21;8,22,23;9,24,25;10,24,26;10,25,27;11,20,28
2 1 2 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,8,12;4,13,14;5,9,15;5,16,17;6,13,18;6,14,19;7,20,21;8,22,23;9,24,25;10,24,26;10,25,27;11,21,28
3 1 3 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,8,12;4,13,14;5,10,15;5,16,17;6,13,18;6,14,19;7,20,21;8,22,23;9,24,25;9,26,27;10,24,26;11,20,28
4 1 4 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,8,12;4,13,14;5,10,15;5,16,17;6,13,18;6,14,19;7,20,21;8,22,23;9,24,25;9,26,27;10,24,26;11,21,28
5 1 5 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,8,12;4,13,14;5,10,15;5,16,17;6,13,18;6,14,19;7,20,21;8,22,23;9,24,25;9,26,27;10,24,27;11,20,28
6 1 6 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,8,12;4,13,14;5,10,15;5,16,17;6,13,18;6,14,19;7,20,21;8,22,23;9,24,25;9,26,27;10,24,27;11,21,28
7 1 7 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,8,12;4,13,14;5,10,15;5,16,17;6,13,18;6,14,19;7,20,21;8,22,23;9,24,25;9,26,27;10,25,26;11,20,28
8 1 8 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,8,12;4,13,14;5,10,15;5,16,17;6,13,18;6,14,19;7,20,21;8,22,23;9,24,25;9,26,27;10,25,26;11,21,28
9 1 9 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,8,12;4,13,14;5,10,15;5,16,17;6,13,18;6,14,19;7,20,21;8,22,23;9,24,25;9,26,27;10,25,27;11,20,28
10 1 10 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,8,12;4,13,14;5,10,15;5,16,17;6,13,18;6,14,19;7,20,21;8,22,23;9,24,25;9,26,27;10,25,27;11,21,28
11 1 11 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,12,13;4,14,15;5,9,16;5,10,17;6,14,18;6,15,19;7,20,21;8,20,22;8,21,23;9,24,25;10,26,27;11,12,28
12 1 12 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,12,13;4,14,15;5,9,16;5,10,17;6,14,18;6,15,19;7,20,21;8,20,22;8,21,23;9,24,25;10,26,27;11,13,28
13 1 13 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,12,13;4,14,15;5,9,16;5,17,18;6,14,19;6,15,20;7,21,22;8,21,23;8,22,24;9,25,26;10,25,27;10,26,28
14 1 14 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;8,21,23;8,22,24;9,25,26;9,27,28;10,25,27
15 1 15 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;8,21,23;8,22,24;9,25,26;9,27,28;10,25,28
16 1 16 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;8,21,23;8,22,24;9,25,26;9,27,28;10,26,27
17 1 17 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,7,11;3,12,13;4,14,15;5,10,16;5,17,18;6,14,19;6,15,20;7,21,22;8,21,23;8,22,24;9,25,26;9,27,28;10,26,28
18 1 18 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,9,16;5,10,17;6,14,18;6,15,19;7,20,21;7,22,23;8,20,22;9,24,25;10,26,27;11,12,28
19 1 19 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,9,16;5,10,17;6,14,18;6,15,19;7,20,21;7,22,23;8,20,22;9,24,25;10,26,27;11,13,28
20 1 20 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,9,16;5,10,17;6,14,18;6,15,19;7,20,21;7,22,23;8,20,23;9,24,25;10,26,27;11,12,28
21 1 21 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,9,16;5,10,17;6,14,18;6,15,19;7,20,21;7,22,23;8,20,23;9,24,25;10,26,27;11,13,28
22 1 22 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,9,16;5,10,17;6,14,18;6,15,19;7,20,21;7,22,23;8,21,22;9,24,25;10,26,27;11,12,28
23 1 23 29 11 0,1,3;1,2,4;0,2,5;0,4,6;1,7,8;2,9,10;3,8,11;3,12,13;4,14,15;5,9,16;5,10,17;6,14,18;6,15,19;7,20,21;7,22,23;8,21,22;9,24,25;10,26,27;11,13,28
